Model,Creator,GDPvalAAv2,Tau3Banking,TerminalBenchv21,SciCode,AA-LCR,AA-OmniscienceAccuracy,HLE,GPQADiamond,CritPt,真实覆盖,补全分量,GDPvalAAv2补全,Tau3Banking补全,TerminalBenchv21补全,SciCode补全,AA-LCR补全,AA-OmniscienceAccuracy补全,HLE补全,GPQADiamond补全,CritPt补全
Claude Opus 5 (max),Anthropic,67.00,42.00,89.00,56.00,76.00,61.00,55.00,93.00,29.00,100%,,0,0,0,0,0,0,0,0,0
Claude Opus 5 (xhigh),Anthropic,66.00,43.00,88.00,55.00,76.00,60.00,54.00,94.00,28.00,100%,,0,0,0,0,0,0,0,0,0
Claude Fable 5 (with fallback),Anthropic,62.00,38.00,85.00,60.00,77.00,65.00,55.00,93.00,29.00,100%,,0,0,0,0,0,0,0,0,0
Claude Opus 5 (high),Anthropic,62.00,45.00,88.00,54.00,76.00,59.00,53.00,94.00,28.00,100%,,0,0,0,0,0,0,0,0,0
GPT-5.6 Sol (max),OpenAI,61.00,44.00,88.00,56.00,78.00,59.00,49.00,94.00,32.00,100%,,0,0,0,0,0,0,0,0,0
Grok 4.6 (high),SpaceXAI,62.00,51.00,88.00,54.00,75.00,48.00,43.00,95.00,17.00,100%,,0,0,0,0,0,0,0,0,0
Kimi K3 (max),Kimi,59.00,46.00,85.00,59.00,83.00,48.00,47.00,94.00,23.00,100%,,0,0,0,0,0,0,0,0,0
GPT-5.6 Sol (xhigh),OpenAI,59.00,38.00,90.00,56.00,76.00,59.00,47.00,93.00,29.00,100%,,0,0,0,0,0,0,0,0,0
Claude Opus 5 (medium),Anthropic,56.00,39.00,86.00,51.00,79.00,57.00,51.00,92.00,27.00,100%,,0,0,0,0,0,0,0,0,0
Qwen3.8 Max,Alibaba,62.00,51.00,81.00,53.00,74.00,32.00,43.00,93.00,20.00,100%,,0,0,0,0,0,0,0,0,0
Qwen3.8 2.4T A95B,Alibaba,61.00,49.00,82.00,52.00,75.00,31.00,42.00,94.00,20.00,100%,,0,0,0,0,0,0,0,0,0
GPT-5.6 Sol (high),OpenAI,56.00,37.00,87.00,57.00,75.00,58.00,46.00,93.00,26.00,100%,,0,0,0,0,0,0,0,0,0
Muse Spark 1.2 (xhigh),Meta,56.00,35.00,80.00,56.00,83.00,45.00,45.00,90.00,18.00,100%,,0,0,0,0,0,0,0,0,0
GPT-5.6 Terra (max),OpenAI,54.00,40.00,88.00,54.00,80.00,47.00,43.00,93.00,30.00,100%,,0,0,0,0,0,0,0,0,0
Gemini 3.7 Flash (high),Google,51.00,33.00,86.00,57.00,80.00,55.00,48.00,95.00,14.00,100%,,0,0,0,0,0,0,0,0,0
Grok 4.5 (high),SpaceXAI,51.00,42.00,82.00,54.00,74.00,52.00,43.00,93.00,15.00,100%,,0,0,0,0,0,0,0,0,0
GPT-5.6 Sol (medium),OpenAI,53.00,36.00,86.00,56.00,74.00,58.00,42.00,93.00,23.00,100%,,0,0,0,0,0,0,0,0,0
Claude Sonnet 5 (max),Anthropic,55.00,37.00,81.00,54.00,77.00,40.00,41.00,91.00,17.00,100%,,0,0,0,0,0,0,0,0,0
Gemini 3.7 Flash (medium),Google,50.00,35.00,78.00,58.00,81.00,54.00,39.00,92.00,9.00,100%,,0,0,0,0,0,0,0,0,0
DeepSeek V4 Pro 0813 (max),DeepSeek,55.00,40.00,79.00,49.00,75.00,49.00,41.00,93.00,18.00,100%,,0,0,0,0,0,0,0,0,0
GPT-5.6 Terra (xhigh),OpenAI,54.00,30.00,80.00,52.00,75.00,46.00,42.00,91.00,27.00,100%,,0,0,0,0,0,0,0,0,0
GLM-5.2 (max),Z AI,50.00,35.00,78.00,50.00,77.00,24.00,41.00,89.00,21.00,100%,,0,0,0,0,0,0,0,0,0
Claude Opus 5 (low),Anthropic,48.00,30.00,76.00,48.00,77.00,56.00,43.00,89.00,23.00,100%,,0,0,0,0,0,0,0,0,0
GPT-5.6 Luna (max),OpenAI,54.00,31.00,81.00,53.00,78.00,43.00,39.00,91.00,21.00,100%,,0,0,0,0,0,0,0,0,0
DeepSeek V4 Flash 0731 (max),DeepSeek,53.00,39.00,79.00,50.00,74.00,40.00,39.00,91.00,17.00,100%,,0,0,0,0,0,0,0,0,0
Gemini 3.6 Flash,Google,46.00,30.00,78.00,53.00,79.00,50.00,41.00,93.00,11.00,100%,,0,0,0,0,0,0,0,0,0
Gemini 3.7 Flash (low),Google,48.00,29.00,80.00,54.00,78.00,54.00,35.00,90.00,6.00,100%,,0,0,0,0,0,0,0,0,0
GPT-5.6 Sol (low),OpenAI,47.00,29.00,77.00,55.00,73.00,57.00,39.00,90.00,15.00,100%,,0,0,0,0,0,0,0,0,0
GPT-5.6 Terra (high),OpenAI,51.00,29.00,76.00,50.00,73.00,45.00,39.00,90.00,23.00,100%,,0,0,0,0,0,0,0,0,0
GPT-5.6 Luna (xhigh),OpenAI,51.00,29.00,78.00,50.00,73.00,42.00,37.00,89.00,21.00,100%,,0,0,0,0,0,0,0,0,0
Kimi K3 (low),Kimi,38.00,42.00,82.00,51.00,77.00,46.00,25.00,84.00,3.00,100%,,0,0,0,0,0,0,0,0,0
Gemini 3.1 Pro Preview,Google,23.00,21.00,74.00,59.00,79.00,55.00,47.00,94.00,18.00,100%,,0,0,0,0,0,0,0,0,0
Motif 3,Motif Technologies,39.00,35.00,75.00,41.00,72.00,30.00,37.00,83.00,7.00,100%,,0,0,0,0,0,0,0,0,0
GPT-5.6 Luna (high),OpenAI,48.00,25.00,70.00,51.00,74.00,42.00,33.00,89.00,17.00,100%,,0,0,0,0,0,0,0,0,0
GPT-5.6 Terra (medium),OpenAI,45.00,26.00,72.00,50.00,70.00,45.00,33.00,87.00,17.00,100%,,0,0,0,0,0,0,0,0,0
Gemini 3.5 Flash (medium),Google,48.99,34.16,79.70,53.00,80.00,51.00,41.00,92.00,11.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
GPT-5.3 Codex (xhigh),OpenAI,52.53,39.67,81.40,53.00,78.00,53.00,42.00,92.00,17.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
MiniMax-M3,MiniMax,44.00,15.00,65.00,45.00,80.00,17.00,39.00,93.00,4.00,100%,,0,0,0,0,0,0,0,0,0
Motif 3 (Beta),Motif Technologies,38.00,19.41,71.00,44.00,71.00,21.00,40.00,87.00,6.00,89%,Tau3Banking,0,1,0,0,0,0,0,0,0
DeepSeek V4 Pro (max),DeepSeek,40.00,30.00,64.00,50.00,70.00,43.00,38.00,89.00,13.00,100%,,0,0,0,0,0,0,0,0,0
DeepSeek V4 Pro (high),DeepSeek,40.00,26.00,65.00,46.00,67.00,41.00,35.00,91.00,10.00,100%,,0,0,0,0,0,0,0,0,0
Kimi K2.7 Code,Kimi,34.00,20.00,67.00,47.00,75.00,40.00,35.00,90.00,10.00,100%,,0,0,0,0,0,0,0,0,0
MiMo-V2.5-Pro,Xiaomi,38.00,10.00,65.00,50.00,78.00,22.00,36.00,87.00,4.00,100%,,0,0,0,0,0,0,0,0,0
Claude Sonnet 5 (Non-reasoning),Anthropic,44.00,16.00,75.00,49.00,66.00,34.00,19.00,80.00,1.00,100%,,0,0,0,0,0,0,0,0,0
Inkling,Thinking Machines,37.00,29.00,55.00,46.00,73.00,42.00,32.00,87.00,5.00,100%,,0,0,0,0,0,0,0,0,0
Hy3,Tencent,36.00,23.00,64.00,48.00,75.00,32.00,33.00,90.00,5.00,100%,,0,0,0,0,0,0,0,0,0
Nex-N2-Pro,Nex AGI,37.00,20.94,68.00,42.00,76.00,35.00,34.00,89.00,9.00,89%,Tau3Banking,0,1,0,0,0,0,0,0,0
GPT-5.6 Sol (Non-reasoning),OpenAI,44.00,20.00,74.00,47.00,57.00,49.00,17.00,79.00,5.00,100%,,0,0,0,0,0,0,0,0,0
Solar Pro 4,Upstage,39.00,23.00,57.00,44.00,71.00,19.00,29.00,89.00,5.00,100%,,0,0,0,0,0,0,0,0,0
GPT-5.6 Terra (low),OpenAI,38.00,19.00,63.00,49.00,69.00,44.00,29.00,84.00,9.00,100%,,0,0,0,0,0,0,0,0,0
Inkling Small,Thinking Machines,38.00,19.00,55.00,49.00,69.00,33.00,33.00,89.00,8.00,100%,,0,0,0,0,0,0,0,0,0
JT-4.1 Flash 236B A21B,China Mobile,38.00,15.73,60.00,38.00,70.00,24.00,18.00,85.00,0.00,89%,Tau3Banking,0,1,0,0,0,0,0,0,0
Agnes 2.5 Pro Alpha,Sapiens AI,34.00,12.00,67.00,42.00,73.00,33.00,34.00,88.00,11.00,100%,,0,0,0,0,0,0,0,0,0
Qwen3.7 Plus,Alibaba,22.00,18.00,61.00,45.00,69.00,23.00,36.00,90.00,9.00,100%,,0,0,0,0,0,0,0,0,0
GPT-5.6 Luna (medium),OpenAI,39.00,18.00,53.00,46.00,72.00,41.00,26.00,86.00,5.00,100%,,0,0,0,0,0,0,0,0,0
Nemotron 3 Ultra,NVIDIA,33.00,14.00,54.00,40.00,71.00,23.00,28.00,87.00,3.00,100%,,0,0,0,0,0,0,0,0,0
MiMo-V2.5,Xiaomi,33.00,9.00,64.00,43.00,68.00,17.00,27.00,85.00,4.00,100%,,0,0,0,0,0,0,0,0,0
Ling 3.0 Flash,InclusionAI,30.00,27.00,55.00,41.00,67.00,18.00,24.00,85.00,2.00,100%,,0,0,0,0,0,0,0,0,0
Qwen3.6 27B,Alibaba,31.00,9.00,51.00,37.00,64.00,17.00,15.00,83.00,1.00,100%,,0,0,0,0,0,0,0,0,0
Gemini 3.5 Flash-Lite,Google,32.00,18.00,54.00,41.00,75.00,29.00,19.00,84.00,0.00,100%,,0,0,0,0,0,0,0,0,0
Solar Open2 250B,Upstage,31.00,22.00,44.00,46.00,68.00,19.00,29.00,86.00,6.00,100%,,0,0,0,0,0,0,0,0,0
MiMo-V2-Omni-0327,Xiaomi,28.99,16.20,56.14,39.00,70.00,18.00,23.00,85.00,1.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Grok 4.3 (medium),SpaceXAI,30.46,17.26,56.58,45.00,68.00,29.00,30.00,89.00,5.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Grok 4.3 (low),SpaceXAI,27.60,14.79,51.90,42.00,68.00,27.00,18.00,84.00,1.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
MiMo-V2-Omni,Xiaomi,28.93,16.41,56.41,37.00,72.00,19.00,22.00,83.00,1.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Gemini 3.5 Flash (minimal),Google,29.84,16.84,47.76,49.00,58.00,43.00,24.00,83.00,1.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
"Claude Sonnet 4.6 (Non-reasoning, Low Effort)",Anthropic,39.33,15.56,62.38,44.00,65.00,37.00,11.00,80.00,1.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Muse Glimmer (high),Meta,23.00,24.00,52.00,44.00,80.00,27.00,22.00,84.00,3.00,100%,,0,0,0,0,0,0,0,0,0
A.X-K2,SK Telecom,30.00,16.00,39.00,39.00,66.00,19.00,30.00,86.00,9.00,100%,,0,0,0,0,0,0,0,0,0
GLM-5.2,Z AI,45.00,17.00,52.00,36.00,45.00,20.00,10.00,69.00,3.00,100%,,0,0,0,0,0,0,0,0,0
GPT-5.6 Terra (Non-reasoning),OpenAI,37.00,16.00,56.00,45.00,55.00,37.00,11.00,75.00,2.00,100%,,0,0,0,0,0,0,0,0,0
KAT-Coder-Pro V2,KwaiKAT,20.00,16.90,70.00,38.00,70.00,21.00,16.00,85.00,0.00,89%,Tau3Banking,0,1,0,0,0,0,0,0,0
LongCat 2.0,LongCat,27.00,14.91,50.00,35.00,63.00,30.00,34.00,78.00,3.00,89%,Tau3Banking,0,1,0,0,0,0,0,0,0
Qwen3.5 397B A17B,Alibaba,23.00,13.00,51.00,42.00,73.00,31.00,29.00,89.00,2.00,100%,,0,0,0,0,0,0,0,0,0
MiMo-V2-Flash (Feb 2026),Xiaomi,30.17,16.67,54.20,38.00,69.00,20.00,22.00,84.00,3.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
GPT-5.6 Luna (low),OpenAI,33.00,13.00,43.00,46.00,65.00,40.00,20.00,84.00,3.00,100%,,0,0,0,0,0,0,0,0,0
Qwen3.5 122B A10B,Alibaba,19.00,10.00,47.00,36.00,62.00,19.00,16.00,83.00,1.00,100%,,0,0,0,0,0,0,0,0,0
Qwen3.5 397B A17B,Alibaba,23.00,13.00,51.00,42.00,73.00,31.00,29.00,89.00,2.00,67%,,0,0,0,0,0,0,0,0,0
Qwen3.6 35B A3B,Alibaba,28.00,9.00,45.00,36.00,67.00,19.00,22.00,84.00,0.00,100%,,0,0,0,0,0,0,0,0,0
DeepSeek V4 Pro,DeepSeek,10.49,8.00,23.52,42.00,50.00,31.00,8.00,72.00,1.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
G9v3-39A5B,AI9Stars,35.00,11.01,28.00,38.00,60.00,17.00,13.00,76.00,0.00,89%,Tau3Banking,0,1,0,0,0,0,0,0,0
Qwen3.5 Omni Plus,Alibaba,16.52,9.38,36.27,41.00,58.00,17.00,15.00,83.00,1.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Qwen3.6 27B,Alibaba,31.00,9.00,51.00,37.00,64.00,17.00,15.00,83.00,1.00,100%,,0,0,0,0,0,0,0,0,0
Ring-2.6-1T,InclusionAI,21.00,12.90,43.00,42.00,67.00,26.00,22.00,86.00,4.00,89%,Tau3Banking,0,1,0,0,0,0,0,0,0
o3,OpenAI,29.10,15.25,47.43,41.00,73.00,39.00,20.00,83.00,1.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
K-EXAONE 2.0,LG AI Research,24.00,12.00,40.00,41.00,58.00,13.00,19.00,83.00,1.00,100%,,0,0,0,0,0,0,0,0,0
Step 3.7 Flash,StepFun,26.00,12.00,39.00,40.00,70.00,26.00,21.00,81.00,2.00,100%,,0,0,0,0,0,0,0,0,0
Mistral Medium 3.5,Mistral,22.00,15.00,51.00,40.00,65.00,25.00,14.00,75.00,0.00,100%,,0,0,0,0,0,0,0,0,0
Claude 4.5 Haiku,Anthropic,21.00,9.00,44.00,43.00,74.00,18.00,10.00,67.00,0.00,100%,,0,0,0,0,0,0,0,0,0
Gemma 4 31B,Google,12.00,9.00,29.00,41.00,43.00,17.00,12.00,76.00,0.00,100%,,0,0,0,0,0,0,0,0,0
DeepSeek V4 Flash,DeepSeek,10.00,8.07,26.32,37.00,37.00,26.00,8.00,72.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
GPT-5.5 Instant (June 2026),OpenAI,11.00,12.00,35.00,49.00,67.00,44.00,20.00,82.00,0.00,100%,,0,0,0,0,0,0,0,0,0
JT-35B-Flash,China Mobile,14.77,7.48,36.38,29.00,64.00,24.00,6.00,83.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
MiMo-V2.5-Pro,Xiaomi,38.00,10.00,65.00,50.00,78.00,22.00,36.00,87.00,4.00,67%,,0,0,0,0,0,0,0,0,0
Qwen3.5 122B A10B,Alibaba,19.00,10.00,47.00,36.00,62.00,19.00,16.00,83.00,1.00,100%,,0,0,0,0,0,0,0,0,0
GPT-5.6 Luna (Non-reasoning),OpenAI,29.00,10.00,39.00,40.00,39.00,29.00,7.00,65.00,0.00,100%,,0,0,0,0,0,0,0,0,0
Doubao Seed Code,ByteDance Seed,22.41,13.12,43.36,41.00,69.00,25.00,14.00,76.00,0.00,67%,"GDPvalAAv2,Tau3Banking,TerminalBenchv21",1,1,1,0,0,0,0,0,0
Gemma 4 26B A4B,Google,13.00,12.00,39.00,40.00,62.00,19.00,19.00,79.00,0.00,100%,,0,0,0,0,0,0,0,0,0
