Model,Version,Effort,Pass@1,Err,Cost,OutTok,Steps
gpt-5.5,1.0,xhigh,70,3,$6.61,47k,79
claude-opus-4.8,1.0,max,58,2,$12.58,136k,108
gpt-5.4,1.0,xhigh,56,2,$4.38,71k,69
claude-opus-4.7,1.0,max,54,5,$18.19,103k,203
glm-5.2,1.0,max,42,3,$3.95,82k,125
claude-sonnet-4.6,1.0,high,32,2,$5.52,76k,129
gemini-3.5-flash,1.0,medium,28,4,$7.42,189k,75
claude-opus-4.6,1.0,max,28,4,$5.39,44k,103
gpt-5.4-mini,1.0,xhigh,24,3,$2.08,135k,86
kimi-k2.6,1.0,,24,2,$3.16,84k,147
minimax-m3,1.0,,20,4,$5.57,98k,314
mimo-v2.5-pro,1.0,,19,2,$1.99,49k,121
qwen3.7-max,1.0,,18,1,$2.12,42k,110
glm-5.1,1.0,,18,1,$7.46,49k,177
grok-build-0.1,1.0,,13,2,$6.60,52k,176
gemini-3.1-pro,1.0,,10,3,$1.84,53k,74
deepseek-v4-pro,1.0,,8,3,$1.05,50k,111
gemini-3-flash,1.0,,5,2,$1.53,233k,71
qwen3.6-plus,1.0,,3,1,$4.25,67k,164
claude-haiku-4.5,1.0,,0,0,$0.84,39k,109
minimax-m2.7,1.0,,0,0,$0.70,60k,136
claude-opus-5,1.1,max,74,4,$11.84,118k,99
gpt-5.6-sol,1.1,max,73,3,$8.39,60k,61
claude-fable-5,1.1,max,70,4,$21.63,119k,88
gpt-5.6-terra,1.1,max,70,3,$3.96,72k,76
kimi-k3,1.1,max,69,5,$4.65,81k,98
gpt-5.6-luna,1.1,max,67,4,$0.61,73k,102
gpt-5.5,1.1,xhigh,67,6,$7.23,46k,82
grok-4.6,1.1,xhigh,67,2,$5.50,71k,87
gemini-3.7-flash,1.1,high,65,2,$2.18,107k,125
deepseek-v4-pro,1.1,max,63,6,$0.06,106k,155
claude-opus-4.8,1.1,max,59,2,$13.22,135k,120
qwen3.8-max,1.1,xhigh,57,3,$3.73,95k,111
muse-spark-1.2,1.1,xhigh,55,2,$3.70,99k,101
claude-sonnet-5,1.1,max,54,4,$26.40,214k,268
grok-4.5,1.1,high,54,2,$2.42,36k,61
deepseek-v4-flash,1.1,max,53,4,$0.10,108k,153
muse-spark-1.1,1.1,xhigh,53,3,$2.36,74k,96
gpt-5.4,1.1,xhigh,52,2,$5.65,71k,70
gemini-3.6-flash,1.1,high,47,4,$4.42,96k,117
glm-5.2,1.1,max,44,2,$3.92,78k,129
gemini-3.5-flash,1.1,high,36,4,$3.45,76k,105
kimi-k2.7-code,1.1,,31,1,$2.82,59k,149
claude-sonnet-4.6,1.1,high,30,4,$5.52,76k,134
gemini-3.1-pro,1.1,high,12,1,$2.14,28k,76
